Size,Time_sec,Operations,Status
10,0.0,1000,PASSED
50,0.0,125000,PASSED
100,0.000692377,1000000,PASSED
200,0.00499495,8000000,PASSED
400,0.0547663,64000000,PASSED
600,0.136237,216000000,PASSED
800,0.347495,512000000,PASSED
1000,0.831429,1000000000,PASSED
